Polaridade,Tweets Limpos
negativo,fico puta alguÃm ESTUDOU MEDICINA recomenda remÃdio vezes outro httpstcowbiMJMAgDT
negativo,anos corpo muita tosse garganta doendo agora comeÃou falta conâ httpstcormPNNTI5Wc
positivo,fofinha chegou acordou tomar melhorar tosse melhor
neutro,tosse cachorro
positivo,Relario covid isolamento coloquei serie comecei livro receitas reinventando praâ httpstco7xUM8uCZiY
negativo,febre tosse cansaÃo dores corpo perda paladar teste infelizmente covid19
negativo,tosse inferno
negativo,arrependo amargamente pegue toda falta volta pufavo imploro
negativo,falta mataâx9d EKKSKSKSKW guria casinha
negativo,assiste vÃxaddeo reportagem sente nenhum pouco Ãdio presidente governo MÃx8dNIâ httpstcokmpD0hpJO6
negativo,momento vocÃ falta nada doenÃaÃ dentro sabe Vontade chorarsumir nada
negativo,psicolÃgico foda Tava vendo maria fanstico sobre covid comecei ficar ansiosaâ httpstcowQUaVqvlrt
negativo,pior crise ansiedade falta senhor
negativo,falta vontade chorar causa ansiedade sensaÃÃo algo ruim acontecer
negativo,Mandeta NinguÃm esqueceu recomendaÃÃo pessoas curassem hospital estiâ httpstcohVLpAdEUWF
negativo,Acrescento GENOCIDA nega tratamento ainda fique casa sentir falta
negativo,Amiga passou manha falta atendida resistiu Infartou
negativo,aÃxad deus acho falta
negativo,elogiou risada parece atropelado falta
negativo,falta desespero tristeza raiva frustraÃÃo depreso denimo vontade quÃxadmica tristeza solio httpstco757lnanf4y
negativo,Falta caralho
negativo,falta ¬¯¯¨
negativo,falar onde tirar forÃa viver semana desabei chorando falta httpstco9OLt4QLJMg
negativo,pior vida tanta falta achei morrer
neutro,mano falando RECEPCIONISTA doutor falta sabeâx9d meudeus
negativo,covid sentindo muita falta ficar casa vaga nenhum hospital totalmente desesperador
negativo,aperto falta arum desesperopensei nunca crises
negativo,falta desgraÃada
positivo,melhorou Investiga febre sinal alguma coisa errada
neutro,lida febre 38ÂC KKKKKKKKKKKK
negativo,febre sinceramente aguentar mano quero chorar puta pariu
neutro,Febre embora
negativo,frio febre gostoso literalmente morrer
negativo,Kevin queimando febre Deus precisa muita forÃa aguento filho assim
negativo,frio caralho acho febre Preciso banheiro disse consigo sair debaixo cobertas
negativo,Saiu casa chego casa pouco febre tremendo todo nnnto agora fudeu
negativo,febre acabando
negativo,conseguindo levantar cama queimando febre odiooooookoooo
negativo,febre fudida
neutro,falarser filhos imunidade baixa foda qualquer coisinha ficam doente thalleâ httpstcomlfff6f2Hf
negativo,colega trabalho loja bado conjuntiviteapareceu manhÃ tambÃm convidado httpstcoikr49O2DrO
negativo,china culpa assim Brasil httpstcoXTx8dQxY2W
