Paul Ekman,Tweets Limpos
raiva,Tosse chata
raiva,Tosse
raiva,Tosse maldita
raiva,Tudo envolve mulher gravidez Tava conversando dizendo algo errado meuâ httpstcoM4qHX1rOwX
surpresa,Caraca muita febre
raiva,febre acabou falta desgraÃa passa
tristeza,triste trabalhar deixa filho febre criar filho sozinha fÃcil Deus ajudar
raiva,Gilberto mande tomar vocÃ ficou noite toda apoiando medindo febre cuidando pessoa tratando feito lixo
tristeza,Pedro acordou enjoadinho febre
surpresa,febre esssa passa
raiva,triste demais situaÃÃo escola quele caso falei Ãxadrrita httpstcorAlT4PxCZe
surpresa,tosse Camilla sara nÃnMisericÃrdia
nojo,todo mundo tosse capeta nessa credo
surpresa,gente âtosse tosseâx9d Socorro
surpresa,tanto povo tosse nessa casa kkkk BBB21
tristeza,tosse atacando nada causa gripe tava
tristeza,cara tosse contagiosa geral assim
felicidade,agora anjo tosse outros sintomas pesados embora
raiva,dias semana meia tosse garganta inferno
raiva,agora inferno tosse faltava
tristeza,cansada entupir remÃdio tosse precisa acabar
raiva,fico puta alguÃm ESTUDOU MEDICINA recomenda remÃdio vezes outro httpstcowbiMJMAgDT
tristeza,anos corpo muita tosse garganta doendo agora comeÃou falta conâ httpstcormPNNTI5Wc
felicidade,fofinha chegou acordou tomar melhorar tosse melhor
surpresa,tosse cachorro
felicidade,Relario covid isolamento coloquei serie comecei livro receitas reinventando praâ httpstco7xUM8uCZiY
tristeza,febre tosse cansaÃo dores corpo perda paladar teste infelizmente covid19
raiva,tosse inferno
tristeza,arrependo amargamente pegue toda falta volta pufavo imploro
medo,falta mataâx9d EKKSKSKSKW guria casinha
raiva,assiste vÃxaddeo reportagem sente nenhum pouco Ãdio presidente governo MÃx8dNIâ httpstcokmpD0hpJO6
tristeza,momento vocÃ falta nada doenÃaÃ dentro sabe Vontade chorarsumir nada
tristeza,psicolÃgico foda Tava vendo maria fanstico sobre covid comecei ficar ansiosaâ httpstcowQUaVqvlrt
tristeza,pior crise ansiedade falta senhor
medo,falta vontade chorar causa ansiedade sensaÃÃo algo ruim acontecer
raiva,Mandeta NinguÃm esqueceu recomendaÃÃo pessoas curassem hospital estiâ httpstcohVLpAdEUWF
raiva,Acrescento GENOCIDA nega tratamento ainda fique casa sentir falta
tristeza,Amiga passou manha falta atendida resistiu Infartou
medo,aÃxad deus acho falta
tristeza,elogiou risada parece atropelado falta
tristeza,falta desespero tristeza raiva frustraÃÃo depreso denimo vontade quÃxadmica tristeza solio httpstco757lnanf4y
raiva,Falta caralho
raiva,falta ¬¯¯¨
tristeza,falar onde tirar forÃa viver semana desabei chorando falta httpstco9OLt4QLJMg
tristeza,pior vida tanta falta achei morrer
surpresa,mano falando RECEPCIONISTA doutor falta sabeâx9d meudeus
medo,covid sentindo muita falta ficar casa vaga nenhum hospital totalmente desesperador
medo,aperto falta arum desesperopensei nunca crises
raiva,falta desgraÃada
felicidade,melhorou Investiga febre sinal alguma coisa errada
felicidade,lida febre 38ÂC KKKKKKKKKKKK
tristeza,febre sinceramente aguentar mano quero chorar puta pariu
tristeza,Febre embora
tristeza,frio febre gostoso literalmente morrer
tristeza,Kevin queimando febre Deus precisa muita forÃa aguento filho assim
raiva,frio caralho acho febre Preciso banheiro disse consigo sair debaixo cobertas
medo,Saiu casa chego casa pouco febre tremendo todo nnnto agora fudeu
tristeza,febre acabando
raiva,conseguindo levantar cama queimando febre odiooooookoooo
tristeza,febre fudida
tristeza,falarser filhos imunidade baixa foda qualquer coisinha ficam doente thalleâ httpstcomlfff6f2Hf
raiva,colega trabalho loja bado conjuntiviteapareceu manhÃ tambÃm convidado httpstcoikr49O2DrO
raiva,china culpa assim Brasil httpstcoXTx8dQxY2W
